CustomerID,total_transactions,total_products,total_unique_products,total_sales,avg_product_value,avg_cart_value,min_cart_value,max_cart_value
12347,7,182,103,4309.999999999997,23.681318681318665,615.7142857142857,224.82000000000002,1294.3200000000002
12348,4,31,22,1797.24,57.97548387096774,449.31,227.43999999999997,892.8000000000001
12349,1,73,73,1757.55,24.076027397260273,1757.55,1757.55,1757.55
12350,1,17,17,334.40000000000003,19.67058823529412,334.40000000000003,334.40000000000003,334.40000000000003
12352,8,85,59,2506.040000000001,29.482823529411775,313.25499999999994,120.33,840.3
12353,1,4,4,89.0,22.25,89.0,89.0,89.0
12354,1,58,58,1079.4,18.610344827586207,1079.4,1079.4,1079.4
12355,1,13,13,459.4,35.33846153846154,459.4,459.4,459.4
12356,3,59,53,2811.4300000000007,47.6513559322034,937.1433333333334,58.349999999999994,2271.6200000000003
12357,1,131,131,6207.669999999996,47.38679389312974,6207.669999999996,6207.669999999996,6207.669999999996
12358,2,19,13,1168.06,61.47684210526315,584.03,484.85999999999996,683.2
12359,4,248,214,6372.580000000005,25.695887096774214,1593.145,547.5,2876.85
12360,3,129,105,2662.0600000000004,20.636124031007753,887.3533333333334,534.7000000000002,1083.58
12361,1,10,10,189.89999999999998,18.99,189.89999999999998,189.89999999999998,189.89999999999998
12362,10,266,201,5226.230000000003,19.64748120300753,522.623,303.76000000000005,829.9900000000001
12363,2,23,23,552.0,24.0,276.0,252.90000000000003,299.1
12364,4,85,70,1313.1000000000001,15.448235294117648,328.275,79.8,623.92
12365,2,22,22,641.38,29.153636363636362,320.69,320.69,320.69
12367,1,11,11,168.9,15.354545454545455,168.9,168.9,168.9
12370,4,167,143,3545.689999999998,21.231676646706575,886.4225000000001,277.2,1590.82
12371,2,63,63,1887.9600000000003,29.967619047619053,943.9800000000001,360.0,1527.9600000000003
12372,3,52,34,1298.0400000000002,24.962307692307697,432.68,383.12,515.7
12373,1,14,14,364.6,26.042857142857144,364.6,364.6,364.6
12374,1,33,33,742.93,22.513030303030302,742.93,742.93,742.93
12375,2,17,14,457.5000000000001,26.91176470588236,228.75000000000003,227.20000000000002,230.30000000000004
12377,2,77,72,1628.1199999999997,21.14441558441558,814.0599999999998,626.6,1001.5199999999996
12378,1,219,219,4008.6200000000013,18.304200913242013,4008.6200000000013,4008.6200000000013,4008.6200000000013
12379,2,40,39,852.2399999999997,21.30599999999999,426.12,392.40000000000003,459.8399999999999
12380,4,104,77,2724.81,26.200096153846154,681.2025,450.86,1040.3899999999999
12381,5,87,70,1845.3100000000006,21.210459770114948,369.062,4.5,1268.74
12383,5,99,84,1850.5599999999997,18.69252525252525,370.11199999999997,99.45,651.1599999999999
12384,2,27,26,585.2700000000001,21.67666666666667,292.635,292.58,292.69
